,X,Y,Z,          U-U1,          U-U2,          U-U3,S11,S22,S12
28568,22.0,-44.0,0.00281421,  -698.148E-03,   64.3434E-03,       3.78182,-0.00939577,-0.00212915,-7.70597e-05
28569,21.0,-44.0,0.00296063,  -678.954E-03,   64.3468E-03,       3.97662,-0.0123746,-0.0029643,-9.72318e-05
28574,20.0,-44.0,0.00310478,  -660.360E-03,   64.3506E-03,       4.16836,-0.0153314,-0.00382035,-0.000118381
28575,19.0,-44.0,0.00324607,  -642.501E-03,   64.3548E-03,       4.35632,-0.0182525,-0.00469296,-0.000139014
28580,18.0,-44.0,0.00338395,  -625.498E-03,   64.3589E-03,       4.53975,-0.0211228,-0.00557559,-0.000157697
28583,17.0,-44.0,0.00351787,  -609.460E-03,   64.3628E-03,       4.71792,-0.0239266,-0.00646005,-0.000173202
28584,16.0,-44.0,0.00364728,  -594.483E-03,   64.3662E-03,       4.89015,-0.0266476,-0.00733709,-0.000184605
28589,15.0,-44.0,0.00377167,  -580.645E-03,   64.3691E-03,       5.05573,-0.0292699,-0.00819707,-0.000191345
28590,14.0,-44.0,0.00389055,  -568.007E-03,   64.3712E-03,       5.21401,-0.0317781,-0.00903061,-0.000193232
28595,13.0,-44.0,0.00400343,  -556.609E-03,   64.3727E-03,       5.36436,-0.034158,-0.00982905,-0.000190417
28598,12.0,-44.0,0.00410987,  -546.474E-03,   64.3735E-03,       5.50616,-0.0363971,-0.0105848,-0.000183335
28599,11.0,-44.0,0.00420943,  -537.604E-03,   64.3736E-03,       5.63885,-0.0384844,-0.0112918,-0.000172627
28604,10.0,-44.0,0.00430173,  -529.980E-03,   64.3733E-03,       5.76188,-0.0404109,-0.0119449,-0.000159058
28605,9.0,-44.0,0.0043864,  -523.564E-03,   64.3725E-03,       5.87477,-0.0421693,-0.0125408,-0.000143441
28610,8.0,-44.0,0.00446308,  -518.297E-03,   64.3715E-03,       5.97704,-0.0437538,-0.0130767,-0.000126561
28613,7.0,-44.0,0.00453149,  -514.105E-03,   64.3703E-03,       6.06828,-0.0451599,-0.0135511,-0.000109121
28614,6.0,-44.0,0.00459133,  -510.892E-03,   64.3690E-03,       6.14813,-0.0463841,-0.0139629,-9.16946e-05
28619,5.0,-44.0,0.00464238,  -508.551E-03,   64.3678E-03,       6.21624,-0.0474237,-0.0143118,-7.47056e-05
28620,4.0,-44.0,0.00468443,  -506.959E-03,   64.3668E-03,       6.27236,-0.0482769,-0.0145973,-5.841e-05
28625,3.0,-44.0,0.00471731,  -505.979E-03,   64.3659E-03,       6.31625,-0.048942,-0.0148193,-4.29013e-05
28628,2.0,-44.0,0.00474089,  -505.469E-03,   64.3652E-03,       6.34772,-0.0494179,-0.014978,-2.81265e-05
28629,1.0,-44.0,0.00475508,  -505.275E-03,   64.3648E-03,       6.36666,-0.0497037,-0.0150731,-1.39121e-05
28634,2.55011e-29,-44.0,0.00475981,  -505.241E-03,   64.3646E-03,       6.37298,-0.0497991,-0.0151049,0.0
28635,-1.0,-44.0,0.00475508,  -505.207E-03,   64.3648E-03,       6.36666,-0.0497037,-0.0150731,1.39121e-05
28640,-2.0,-44.0,0.00474089,  -505.013E-03,   64.3652E-03,       6.34772,-0.0494179,-0.014978,2.81265e-05
28643,-3.0,-44.0,0.00471731,  -504.502E-03,   64.3659E-03,       6.31625,-0.048942,-0.0148193,4.29013e-05
28644,-4.0,-44.0,0.00468443,  -503.523E-03,   64.3668E-03,       6.27236,-0.0482769,-0.0145973,5.841e-05
28649,-5.0,-44.0,0.00464238,  -501.930E-03,   64.3678E-03,       6.21624,-0.0474237,-0.0143118,7.47056e-05
28650,-6.0,-44.0,0.00459133,  -499.589E-03,   64.3690E-03,       6.14813,-0.0463841,-0.0139629,9.16946e-05
28655,-7.0,-44.0,0.00453149,  -496.377E-03,   64.3703E-03,       6.06828,-0.0451599,-0.0135511,0.000109121
28658,-8.0,-44.0,0.00446308,  -492.185E-03,   64.3715E-03,       5.97704,-0.0437538,-0.0130767,0.000126561
28659,-9.0,-44.0,0.0043864,  -486.918E-03,   64.3725E-03,       5.87477,-0.0421693,-0.0125408,0.000143441
28664,-10.0,-44.0,0.00430173,  -480.502E-03,   64.3733E-03,       5.76188,-0.0404109,-0.0119449,0.000159058
28665,-11.0,-44.0,0.00420943,  -472.878E-03,   64.3736E-03,       5.63885,-0.0384844,-0.0112918,0.000172627
28670,-12.0,-44.0,0.00410987,  -464.008E-03,   64.3735E-03,       5.50616,-0.0363971,-0.0105848,0.000183335
28673,-13.0,-44.0,0.00400343,  -453.873E-03,   64.3727E-03,       5.36436,-0.034158,-0.00982905,0.000190417
28674,-14.0,-44.0,0.00389055,  -442.475E-03,   64.3712E-03,       5.21401,-0.0317781,-0.00903061,0.000193232
28679,-15.0,-44.0,0.00377167,  -429.836E-03,   64.3691E-03,       5.05573,-0.0292699,-0.00819707,0.000191345
28680,-16.0,-44.0,0.00364728,  -415.998E-03,   64.3662E-03,       4.89015,-0.0266476,-0.00733709,0.000184605
28685,-17.0,-44.0,0.00351787,  -401.021E-03,   64.3628E-03,       4.71792,-0.0239266,-0.00646005,0.000173202
28686,-18.0,-44.0,0.00338395,  -384.984E-03,   64.3589E-03,       4.53975,-0.0211228,-0.00557559,0.000157697
28691,-19.0,-44.0,0.00324607,  -367.981E-03,   64.3548E-03,       4.35632,-0.0182525,-0.00469296,0.000139014
28692,-20.0,-44.0,0.00310478,  -350.121E-03,   64.3506E-03,       4.16836,-0.0153314,-0.00382035,0.000118381
28697,-21.0,-44.0,0.00296063,  -331.528E-03,   64.3468E-03,       3.97662,-0.0123746,-0.0029643,9.72318e-05
28700,-22.0,-44.0,0.00281421,  -312.334E-03,   64.3434E-03,       3.78182,-0.00939577,-0.00212915,7.70597e-05
28701,-23.0,-44.0,0.0026661,  -292.682E-03,   64.3408E-03,       3.58473,-0.00640702,-0.00131674,5.92527e-05
28706,-24.0,-44.0,0.00251689,  -272.720E-03,   64.3392E-03,       3.38611,-0.00341888,-0.00052635,4.49335e-05
28707,-25.0,-44.0,0.00236718,  -252.603E-03,   64.3386E-03,       3.18673,-0.000440227,0.000245131,3.48096e-05
28712,-26.0,-44.0,0.00221757,  -232.486E-03,   64.3391E-03,       2.98734,0.00252151,0.00100272,2.91006e-05
28715,-27.0,-44.0,0.00206865,  -212.525E-03,   64.3407E-03,       2.78872,0.00546002,0.00175265,2.74865e-05
28716,-28.0,-44.0,0.00192101,  -192.873E-03,   64.3433E-03,       2.59163,0.00836972,0.00250155,2.91917e-05
28721,-29.0,-44.0,0.00177524,  -173.680E-03,   64.3467E-03,       2.39684,0.0112452,0.00325551,3.30377e-05
28722,-30.0,-44.0,0.00163193,  -155.087E-03,   64.3507E-03,       2.20510,0.0140808,0.00401926,3.76765e-05
28727,-31.0,-44.0,0.00149163,  -137.229E-03,   64.3551E-03,       2.01715,0.01687,0.00479536,4.16631e-05
28730,-32.0,-44.0,0.00135492,  -120.227E-03,   64.3595E-03,       1.83373,0.0196052,0.0055838,4.37778e-05
28731,-33.0,-44.0,0.00122231,  -104.192E-03,   64.3638E-03,       1.65556,0.0222774,0.00638168,4.30088e-05
28736,-34.0,-44.0,0.00109434,  -89.2172E-03,   64.3678E-03,       1.48335,0.0248762,0.00718333,3.89119e-05
28737,-35.0,-44.0,0.0009715139999999999,  -75.3822E-03,   64.3714E-03,       1.31779,0.0273901,0.00798064,3.14453e-05
28742,-36.0,-44.0,0.000854299,  -62.7471E-03,   64.3744E-03,       1.15953,0.0298064,0.00876376,2.13275e-05
28745,-37.0,-44.0,0.000743152,  -51.3536E-03,   64.3767E-03,       1.00921,0.0321122,0.00952198,9.76118e-06
28746,-38.0,-44.0,0.000638498,  -41.2235E-03,   64.3783E-03,   867.436E-03,0.0342945,0.0102448,-1.37042e-06
28751,-39.0,-44.0,0.000540731,  -32.3586E-03,   64.3791E-03,   734.784E-03,0.036341,0.0109234,-9.7748e-06
28752,-40.0,-44.0,0.000450215,  -24.7398E-03,   64.3792E-03,   611.785E-03,0.0382403,0.0115518,-1.32382e-05
28757,-41.0,-44.0,0.000367278,  -18.3284E-03,   64.3784E-03,   498.935E-03,0.0399837,0.0121285,-9.85921e-06
28760,-42.0,-44.0,0.00029221200000000003,  -13.0659E-03,   64.3766E-03,   396.684E-03,0.0415633,0.0126579,-2.20474e-08
28761,-43.0,-44.0,0.000225272,  -8.87526E-03,   64.3739E-03,   305.437E-03,0.0429789,0.0131496,1.24631e-05
28766,-44.0,-44.0,0.000166677,  -5.66270E-03,   64.3702E-03,   225.554E-03,0.0442286,0.0136171,1.89065e-05
28767,-45.0,-44.0,0.00011661,  -3.31906E-03,   64.3656E-03,   157.346E-03,0.0453286,0.0140701,-7.44162e-07
28772,-46.0,-44.0,7.523e-05,  -1.72201E-03,   64.3609E-03,   101.090E-03,0.0462946,0.014489,-5.69602e-05
28775,-47.0,-44.0,4.26874e-05,  -738.556E-06,   64.3565E-03,   57.0291E-03,0.0471348,0.0148352,-0.000143888
28776,-48.0,-44.0,1.91481e-05,  -225.611E-06,   64.3534E-03,   25.3876E-03,0.0478053,0.0150404,-0.000209274
28781,-49.0,-44.0,4.82757e-06,  -32.3635E-06,   64.3516E-03,   6.34972E-03,0.0481197,0.015062,-0.000164948
28782,-50.0,-44.0,0.0,  -43.2118E-42,   64.3511E-03,           -0.,0.0481561,0.0150291,-0.0001059
28787,50.0,-45.0,0.0,      -1.01048,   64.3422E-03,           -0.,0.0485878,0.0152787,0.000173832
