ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,       LE-LE11,       LE-LE22,       LE-LE12,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11121,       2.00871,       8.67924,            0.,NA,NA,"",   28.0444E-03,  -55.3300E-03,   14.0669E-03,  -4.13720E-03,   1.27153E-03,   986.653E-03,   6.29471E-03,   33.1445E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11122,       3.30573,       1.59831,            0.,NA,NA,"",   87.1919E-03,  -6.50278E-03,   12.9919E-03,  -6.57703E-03,  -11.2275E-03,   845.143E-03,  -203.671E-03,  -306.509E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11123,       1.32527,       5.20148,            0.,NA,NA,"",   21.7719E-03,  -43.2842E-03,   16.6689E-03,  -3.86421E-03,   2.83560E-03,       1.19323,   87.2022E-03,   74.8207E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11124,       1.04142,       6.60969,            0.,NA,NA,"",   15.9089E-03,  -49.4503E-03,   15.2814E-03,  -3.76047E-03,   1.59891E-03,       1.08875,   63.3123E-03,   42.3041E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11125,       5.95082,       8.76529,            0.,NA,NA,"",   85.2035E-03,  -40.4730E-03,   14.6543E-03,  -4.46969E-03,   377.828E-06,       1.02413,  -5.68878E-03,   8.12831E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11126,       4.20061,       1.29362,            0.,NA,NA,"",   101.205E-03,  -3.98594E-03,   11.2752E-03,  -4.34225E-03,  -7.88507E-03,   766.218E-03,  -72.9369E-03,  -214.041E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11127,       8.27930,       3.03829,            0.,NA,NA,"",   146.567E-03,  -7.79292E-03,   14.1084E-03,  -3.19547E-03,  -2.44645E-03,       1.01128,   79.9891E-03,  -67.4110E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11128,       8.37814,       2.62757,            0.,NA,NA,"",   149.778E-03,  -6.34009E-03,   13.9583E-03,  -2.92414E-03,  -2.29125E-03,       1.00603,   97.3653E-03,  -63.0606E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11129,       5.34930,       1.68517,            0.,NA,NA,"",   112.582E-03,  -5.47908E-03,   12.9102E-03,  -4.18760E-03,  -5.60283E-03,   895.983E-03,  -23.7386E-03,  -152.242E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11130,       8.40412,       8.07123,            0.,NA,NA,"",   124.189E-03,  -27.2713E-03,   14.5197E-03,  -4.31017E-03,  -47.5100E-06,       1.01741,   3.52260E-03,  -3.43265E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11131,       8.31088,       7.24987,            0.,NA,NA,"",   126.453E-03,  -24.1253E-03,   14.5741E-03,  -4.28946E-03,  -354.228E-06,       1.02204,   6.40717E-03,  -11.7079E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11132,       8.03707,       1.28915,            0.,NA,NA,"",   149.701E-03,  -3.10863E-03,   13.4902E-03,  -2.57665E-03,  -1.75766E-03,   978.156E-03,   113.182E-03,  -48.0232E-03
E:/Wei/20200707-PINN/FE/Job-CH-Tension.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",         11133,       1.47245,       4.76529,            0.,NA,NA,"",   25.0162E-03,  -40.8480E-03,   17.3575E-03,  -4.18440E-03,   3.27085E-03,       1.23891,   78.3603E-03,   85.9925E-03
