ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,       1.99843,   198.381E-03,            0.,NA,NA,"",   282.319E-03,  -5.94697E-03,  -10.5225E-03,      -2.05538,   36.8910E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,       1.99014,   495.841E-03,            0.,NA,NA,"",   280.948E-03,  -14.8636E-03,  -13.4433E-03,      -2.02894,   90.6479E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,       1.98064,   694.001E-03,            0.,NA,NA,"",   279.381E-03,  -20.7897E-03,  -16.2756E-03,      -1.99344,   121.613E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,       1.96033,   990.883E-03,            0.,NA,NA,"",   276.045E-03,  -29.7414E-03,  -29.6543E-03,      -1.92578,   179.729E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,       1.94268,       1.18848,            0.,NA,NA,"",   273.126E-03,  -35.5961E-03,  -31.2167E-03,      -1.88548,   211.751E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,       1.90985,       1.48424,            0.,NA,NA,"",   267.768E-03,  -44.3585E-03,  -42.0244E-03,      -1.78199,   246.299E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,       1.88360,       1.68088,            0.,NA,NA,"",   263.523E-03,  -50.2221E-03,  -51.8610E-03,      -1.69838,   267.630E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,       1.85372,       1.87701,            0.,NA,NA,"",   258.735E-03,  -56.0627E-03,  -61.4891E-03,      -1.60447,   287.530E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,       1.80182,       2.17002,            0.,NA,NA,"",   250.461E-03,  -64.7247E-03,  -72.3434E-03,      -1.44524,   306.972E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,       1.76225,       2.36442,            0.,NA,NA,"",   244.230E-03,  -70.4618E-03,  -78.3349E-03,      -1.32130,   308.191E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,       1.71847,       2.55791,            0.,NA,NA,"",   237.398E-03,  -76.1618E-03,  -81.8071E-03,      -1.18154,   299.660E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,       1.67024,       2.75034,            0.,NA,NA,"",   229.951E-03,  -81.8209E-03,  -81.5038E-03,      -1.02694,   280.430E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,       1.61728,       2.94152,            0.,NA,NA,"",   221.864E-03,  -87.4396E-03,  -75.9412E-03,  -856.179E-03,   249.014E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            14,       1.55925,       3.13123,            0.,NA,NA,"",   213.094E-03,  -93.0072E-03,  -61.7496E-03,  -667.016E-03,   201.780E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            15,       1.49576,       3.31918,            0.,NA,NA,"",   203.599E-03,  -98.5078E-03,  -30.6633E-03,  -457.816E-03,   131.389E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            16,       1.42632,       3.50501,            0.,NA,NA,"",   193.341E-03,  -103.917E-03,   24.4305E-03,  -228.358E-03,   29.8331E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            17,       1.35036,       3.68827,            0.,NA,NA,"",   182.267E-03,  -109.240E-03,   105.922E-03,   14.8535E-03,  -100.139E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            18,       1.26717,       3.86836,            0.,NA,NA,"",   170.328E-03,  -114.531E-03,   218.288E-03,   279.392E-03,  -259.928E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            19,       1.17590,       4.04448,            0.,NA,NA,"",   157.382E-03,  -119.699E-03,   398.821E-03,   558.452E-03,  -469.182E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            20,       1.12691,       4.13073,            0.,NA,NA,"",   150.462E-03,  -122.216E-03,   534.463E-03,   694.872E-03,  -594.833E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-1.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            21,       1.02145,       4.29873,            0.,NA,NA,"",   135.648E-03,  -126.937E-03,   915.697E-03,   939.635E-03,  -902.523E-03
