,X,Y,U,V,Sig_x,Sig_y,Sig_xy
4015,-5.55468,-2.32734,0.0122119,0.013977100000000001,0.0075877,-0.42666800000000005,0.129321
4016,9.42746,7.76687,0.344677,0.0935108,1.01747,0.0259528,0.00262747
4017,-7.70794,-9.28998,0.0681359,0.031225299999999998,2.02819,-0.00442346,0.05167530000000001
4018,7.76088,9.43754,0.283275,0.0490082,1.024,-0.00023856,0.0177149
4019,-9.42039,-7.77504,0.0115045,0.00226515,1.5181200000000001,0.305165,0.0847575
4020,9.37616,7.16435,0.357987,0.0948028,1.02242,0.05157869999999999,-0.015677899999999998
4021,-7.14125,-9.413269999999999,0.08671439999999998,0.0416199,2.03258,-0.010831700000000001,0.057519799999999996
4022,9.288789999999999,-7.70525,0.416397,0.0770255,1.01851,0.0565534,0.026573400000000004
4023,7.77385,-9.42072,0.375317,0.09861160000000001,1.06198,0.00415129,0.018046700000000002
4024,-9.29042,7.7058800000000005,0.0122285,-0.00529907,1.31765,0.273746,-0.188345
4025,-7.81808,9.41478,0.0490597,-0.027368299999999998,1.4554799999999999,0.010634000000000001,-0.0624634
4026,9.41276,-7.138719999999999,0.424825,0.0737893,1.01593,0.084993,0.028438400000000003
4027,7.18388,9.44002,0.274828,0.0364089,1.02821,-0.00221397,0.021100999999999998
4028,9.41164,-2.14166,0.479946,0.0722696,1.01749,0.518273,0.0643285
4029,-9.374989999999999,-7.165310000000001,0.010748899999999999,0.00133314,1.31413,0.273973,0.0387072
4030,9.30073,2.29351,0.46742700000000004,0.0937214,0.9994540000000001,0.622588,-0.0709759
