ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9047,       3.78123,       5.47017,            0.,NA,NA,"",   66.1779E-03,  -59.7335E-03,       1.20913,  -6.29745E-03,   74.8561E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9048,       4.11439,       5.06997,            0.,NA,NA,"",   74.8048E-03,  -54.3755E-03,       1.23630,  -30.6817E-03,   63.8100E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9049,       5.38634,       5.11844,            0.,NA,NA,"",   97.0362E-03,  -42.1793E-03,       1.19713,  -86.3748E-03,   24.8855E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9050,       5.80139,       6.36697,            0.,NA,NA,"",   93.7503E-03,  -45.6013E-03,       1.10967,  -48.6097E-03,   42.7658E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9051,       6.16006,       6.19790,            0.,NA,NA,"",   100.923E-03,  -41.2774E-03,       1.11061,  -53.5856E-03,   29.0425E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9052,       3.84911,       6.22224,            0.,NA,NA,"",   62.8058E-03,  -62.9836E-03,       1.14322,  -4.21012E-03,   81.3598E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9053,       5.75393,       4.26681,            0.,NA,NA,"",   111.775E-03,  -32.8972E-03,       1.22122,  -133.380E-03,  -30.8998E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9054,       6.36751,       4.52052,            0.,NA,NA,"",   120.026E-03,  -29.1422E-03,       1.17774,  -112.208E-03,  -47.3602E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9055,       5.42521,       6.31203,            0.,NA,NA,"",   88.0725E-03,  -48.8696E-03,       1.11972,  -46.5042E-03,   52.6326E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9056,       3.72070,       5.94588,            0.,NA,NA,"",   62.2584E-03,  -62.7300E-03,       1.16820,  -184.425E-06,   80.4761E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9057,       4.80495,       5.09247,            0.,NA,NA,"",   86.9670E-03,  -47.7075E-03,       1.21736,  -67.9235E-03,   46.3264E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9058,       4.42966,       6.37123,            0.,NA,NA,"",   71.4162E-03,  -58.5246E-03,       1.12741,  -22.8340E-03,   75.3756E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9059,       6.33444,       5.50832,            0.,NA,NA,"",   109.807E-03,  -35.6798E-03,       1.14007,  -74.1517E-03,   1.64047E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9060,       6.27637,       4.92281,            0.,NA,NA,"",   114.368E-03,  -32.5832E-03,       1.16843,  -97.0268E-03,  -22.1047E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9061,       5.12155,       6.33708,            0.,NA,NA,"",   82.9364E-03,  -51.8834E-03,       1.12270,  -41.0355E-03,   60.7922E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9062,       6.40138,       4.65682,            0.,NA,NA,"",   119.200E-03,  -29.7486E-03,       1.17163,  -105.372E-03,  -40.9223E-03
