ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,       LE-LE11,       LE-LE22,       LE-LE12,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,       9.80392,            0.,            0.,NA,NA,"",   535.411E-03,   801.683E-39,   3.97251E-03,   31.1910E-03,  -160.430E-06,       1.02531,       2.49079,  -3.63301E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,       9.60784,            0.,            0.,NA,NA,"",   534.559E-03,   636.257E-39,   4.66348E-03,   27.9355E-03,  -226.523E-06,       1.00335,       2.25637,  -5.60089E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,       9.41177,            0.,            0.,NA,NA,"",   533.592E-03,   612.092E-39,   5.17034E-03,   24.9544E-03,  -296.094E-06,   973.551E-03,       2.03879,  -7.53814E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,       9.21569,            0.,            0.,NA,NA,"",   532.569E-03,   514.259E-39,   5.52719E-03,   22.1316E-03,  -462.214E-06,   935.863E-03,       1.82993,  -11.9506E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,       8.92157,            0.,            0.,NA,NA,"",   530.860E-03,   508.985E-39,   5.79403E-03,   18.2842E-03,  -382.125E-06,   867.617E-03,       1.54015,  -10.0419E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,       8.72549,            0.,            0.,NA,NA,"",   529.714E-03,   431.073E-39,   5.86131E-03,   15.9433E-03,  -445.721E-06,   818.775E-03,       1.36165,  -11.7961E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,       8.52941,            0.,            0.,NA,NA,"",   528.573E-03,   369.871E-39,   5.80599E-03,   13.6944E-03,  -555.753E-06,   762.620E-03,       1.18739,  -14.7831E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,       8.33333,            0.,            0.,NA,NA,"",   527.444E-03,   329.258E-39,   5.67939E-03,   11.5261E-03,  -614.077E-06,   702.845E-03,       1.01769,  -16.3944E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,       8.13725,            0.,            0.,NA,NA,"",   526.344E-03,   279.807E-39,   5.47692E-03,   9.43216E-03,  -631.814E-06,   638.950E-03,   851.950E-03,  -16.9203E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,       7.94118,            0.,            0.,NA,NA,"",   525.288E-03,   187.892E-39,   5.19094E-03,   7.39381E-03,  -593.393E-06,   569.916E-03,   688.555E-03,  -15.9302E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,       7.74510,            0.,            0.,NA,NA,"",   524.295E-03,   168.630E-39,   4.86342E-03,   5.40665E-03,  -612.109E-06,   498.864E-03,   528.140E-03,  -16.4687E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,       7.54902,            0.,            0.,NA,NA,"",   523.375E-03,   101.770E-39,   4.49647E-03,   3.43258E-03,  -628.890E-06,   425.082E-03,   367.822E-03,  -16.9538E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,       7.25490,            0.,            0.,NA,NA,"",   522.138E-03,   27.1348E-39,   3.94488E-03,   351.629E-06,  -671.272E-06,   311.551E-03,   118.099E-03,  -18.1544E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            14,       7.05882,            0.,            0.,NA,NA,"",   521.414E-03,  -16.0427E-39,   3.54269E-03,  -1.80741E-03,  -804.834E-06,   230.783E-03,  -57.2550E-03,  -21.8144E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            15,       6.86275,            0.,            0.,NA,NA,"",   520.761E-03,  -85.0973E-39,   3.20193E-03,  -4.14874E-03,  -853.068E-06,   150.535E-03,  -245.216E-03,  -23.1971E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            16,       6.66667,            0.,            0.,NA,NA,"",   520.164E-03,  -142.542E-39,   2.95629E-03,  -6.73647E-03,  -835.320E-06,   71.9232E-03,  -449.939E-03,  -22.8005E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            17,       6.47059,            0.,            0.,NA,NA,"",   519.598E-03,  -214.301E-39,   2.77672E-03,  -9.55003E-03,  -715.505E-06,  -6.81158E-03,  -670.512E-03,  -19.6305E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            18,       6.27451,            0.,            0.,NA,NA,"",   519.057E-03,  -271.489E-39,   2.75706E-03,  -12.6220E-03,  -568.886E-06,  -79.2084E-03,  -907.268E-03,  -15.7761E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            19,       6.07843,            0.,            0.,NA,NA,"",   518.495E-03,  -368.691E-39,   3.05000E-03,  -16.2490E-03,  -475.557E-06,  -140.370E-03,      -1.17950,  -13.4212E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            20,       5.88235,            0.,            0.,NA,NA,"",   517.847E-03,  -457.636E-39,   3.66657E-03,  -20.4404E-03,  -334.700E-06,  -189.653E-03,      -1.48766,  -9.83478E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            21,       5.58824,            0.,            0.,NA,NA,"",   516.535E-03,  -616.045E-39,   5.56148E-03,  -28.3636E-03,   29.8812E-06,  -226.696E-03,      -2.05333,  -548.038E-06
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            22,       5.39216,            0.,            0.,NA,NA,"",   515.242E-03,  -761.593E-39,   7.86866E-03,  -35.2679E-03,   419.875E-06,  -208.493E-03,      -2.53107,   9.34957E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            23,       5.19608,            0.,            0.,NA,NA,"",   513.388E-03,  -980.837E-39,   11.3136E-03,  -43.7739E-03,   1.00351E-03,  -139.686E-03,      -3.10565,   24.1767E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            24,           10.,            0.,            0.,NA,NA,"",   536.114E-03,  -131.562E-39,   3.33548E-03,   33.7589E-03,  -119.488E-06,       1.03555,       2.67357,  -2.36598E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            25,            5.,            0.,            0.,NA,NA,"",   510.691E-03,  -167.170E-39,   14.9010E-03,  -51.5387E-03,   1.62502E-03,  -42.7949E-03,      -3.61987,   40.0251E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            26,           10.,       9.80000,            0.,NA,NA,"",   76.4954E-03,   88.4204E-03,   14.3043E-03,  -4.22717E-03,   3.02187E-03,       1.00714,   1.27689E-03,   54.4693E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            27,           10.,       9.60000,            0.,NA,NA,"",   87.0960E-03,   89.5714E-03,   14.3145E-03,  -4.26381E-03,   3.03875E-03,       1.00710,  -1.33266E-03,   54.8506E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            28,           10.,       9.40000,            0.,NA,NA,"",   97.6987E-03,   90.7329E-03,   14.3286E-03,  -4.31086E-03,   3.05133E-03,       1.00712,  -4.64482E-03,   55.0816E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            29,           10.,       9.20000,            0.,NA,NA,"",   108.311E-03,   91.9065E-03,   14.3420E-03,  -4.35788E-03,   3.05817E-03,       1.00708,  -7.96753E-03,   55.1391E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            30,           10.,            9.,            0.,NA,NA,"",   118.943E-03,   93.0917E-03,   14.3523E-03,  -4.39281E-03,   3.06270E-03,       1.00708,  -10.4285E-03,   55.1359E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            31,           10.,       8.80000,            0.,NA,NA,"",   129.602E-03,   94.2859E-03,   14.3574E-03,  -4.40972E-03,   3.06228E-03,       1.00710,  -11.6195E-03,   55.0133E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            32,           10.,           8.5,            0.,NA,NA,"",   145.659E-03,   96.0892E-03,   14.3545E-03,  -4.39717E-03,   3.05134E-03,       1.00717,  -10.7236E-03,   54.5867E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            33,           10.,       8.30000,            0.,NA,NA,"",   156.419E-03,   97.2905E-03,   14.3436E-03,  -4.35886E-03,   3.03989E-03,       1.00722,  -8.02292E-03,   54.2271E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            34,           10.,       8.10000,            0.,NA,NA,"",   167.232E-03,   98.4829E-03,   14.3237E-03,  -4.28458E-03,   3.01368E-03,       1.00739,  -2.74432E-03,   53.5274E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            35,           10.,       7.90000,            0.,NA,NA,"",   178.103E-03,   99.6602E-03,   14.2915E-03,  -4.16970E-03,   2.97340E-03,       1.00753,   5.39298E-03,   52.5180E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            36,           10.,       7.70000,            0.,NA,NA,"",   189.038E-03,   100.816E-03,   14.2501E-03,  -4.01797E-03,   2.92731E-03,       1.00782,   16.1637E-03,   51.4131E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            37,           10.,           7.5,            0.,NA,NA,"",   200.044E-03,   101.940E-03,   14.1897E-03,  -3.80312E-03,   2.86680E-03,       1.00807,   31.3698E-03,   50.0352E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            38,           10.,       7.30000,            0.,NA,NA,"",   211.121E-03,   103.020E-03,   14.1209E-03,  -3.54594E-03,   2.77972E-03,       1.00863,   49.6829E-03,   48.0316E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            39,           10.,       7.10000,            0.,NA,NA,"",   222.269E-03,   104.051E-03,   14.0286E-03,  -3.23371E-03,   2.69478E-03,       1.00865,   71.6840E-03,   46.1953E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            40,           10.,       6.90000,            0.,NA,NA,"",   233.496E-03,   105.014E-03,   13.9246E-03,  -2.85773E-03,   2.59775E-03,       1.00922,   98.3400E-03,   44.1635E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            41,           10.,       6.70000,            0.,NA,NA,"",   244.800E-03,   105.896E-03,   13.7984E-03,  -2.41314E-03,   2.49247E-03,       1.00966,   129.775E-03,   42.0601E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            42,           10.,           6.5,            0.,NA,NA,"",   256.179E-03,   106.683E-03,   13.6605E-03,  -1.90494E-03,   2.32686E-03,       1.01058,   165.933E-03,   38.4769E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            43,           10.,       6.30000,            0.,NA,NA,"",   267.636E-03,   107.350E-03,   13.5233E-03,  -1.29118E-03,   2.01456E-03,       1.01375,   210.461E-03,   31.1702E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            44,           10.,            6.,            0.,NA,NA,"",   284.919E-03,   108.131E-03,   13.1809E-03,  -235.118E-06,   1.84336E-03,       1.01160,   284.051E-03,   28.5816E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            45,           10.,       5.80000,            0.,NA,NA,"",   296.518E-03,   108.460E-03,   12.9768E-03,   542.994E-06,   1.63854E-03,       1.01359,   339.517E-03,   24.5682E-03
E:/Wei/20200707-PINN/FE/Job-CH-R5.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            46,           10.,       5.60000,            0.,NA,NA,"",   308.154E-03,   108.613E-03,   12.7275E-03,   1.42431E-03,   1.37021E-03,       1.01439,   401.978E-03,   19.1096E-03
